word_id,word,document_frequency,idf,total_occurrences,avg_tf,avg_tfidf,max_tf,max_tfidf,documents_with_word_ratio
38,user,347,0.9162907318741551,570,0.6551724137931034,0.03640421884514939,7,0.49185928234014636,0.3988505747126437
12,the,295,1.078133757324569,387,0.44482758620689655,0.02551168066822733,5,0.22867226541903407,0.3390804597701149
14,to,227,1.3391475826941888,268,0.3080459770114943,0.021323353671827673,3,0.20774187972688327,0.26091954022988506
0,a,191,1.5109978396208479,227,0.26091954022988506,0.021013978594164408,4,0.24414866006336713,0.21954022988505748
8,is,163,1.6686267838244309,186,0.21379310344827587,0.01961915558460682,3,0.26553978542547363,0.18735632183908046
25,of,180,1.5699961803828038,199,0.22873563218390805,0.01865677724571599,3,0.19904990126401284,0.20689655172413793
80,for,152,1.7380552902561939,176,0.20229885057471264,0.018585862335356466,5,0.3647766337068716,0.17471264367816092
30,and,147,1.7712809378845142,164,0.18850574712643678,0.017860495542901467,4,0.3842645387986142,0.16896551724137931
116,in,149,1.7578579175523736,165,0.1896551724137931,0.017250677075352425,3,0.25246829273778243,0.17126436781609194
67,i,114,2.0235610832853794,135,0.15517241379310345,0.016824067199393965,4,0.35076368045504974,0.1310344827586207
199,on,108,2.0771453294194857,118,0.135632183908046,0.014781902398567396,2,0.27341107390555014,0.12413793103448276
40,you,79,2.386466576974748,92,0.10574712643678161,0.014321400222626918,2,0.42107064650769493,0.09080459770114943
276,that,74,2.451005098112319,79,0.09080459770114943,0.012129087412986267,2,0.29674735585281514,0.08505747126436781
290,this,78,2.399045359181608,80,0.09195402298850575,0.01211542563171039,2,0.2468228032792327,0.0896551724137931
273,it,70,2.505813334607314,79,0.09080459770114943,0.01209132743498935,3,0.31226740945979836,0.08045977011494253
17,with,67,2.5489855064725226,71,0.08160919540229886,0.011463623949259425,2,0.3087130198654602,0.07701149425287357
184,trump,61,2.641358826603538,62,0.07126436781609195,0.010746454540167694,2,0.3521750175330012,0.07011494252873564
31,are,59,2.6741486494265287,65,0.07471264367816093,0.010695817485385978,3,0.4129338166355762,0.067816091954023
389,be,57,2.70805020110221,60,0.06896551724137931,0.009990776554238155,2,0.2605139170216754,0.06551724137931035
71,not,57,2.70805020110221,59,0.067816091954023,0.009433949146788414,2,0.3010930840444817,0.06551724137931035
77,as,46,2.9183456099385707,54,0.06206896551724138,0.00939989473299858,2,0.33086413033489914,0.052873563218390804
69,just,47,2.8972922007407385,50,0.05747126436781609,0.0091293082218105,2,0.33301549726899743,0.054022988505747126
6,have,49,2.856470206220483,51,0.05862068965517241,0.009093325161004895,2,0.32166508042680647,0.05632183908045977
10,my,49,2.856470206220483,51,0.05862068965517241,0.009081600741110033,2,0.2878108760624948,0.05632183908045977
141,so,43,2.984303577730368,45,0.05172413793103448,0.008597546323715904,2,0.35172899985410483,0.04942528735632184
254,from,48,2.8766729135380027,48,0.05517241379310345,0.008504876593998243,1,0.23447623165512263,0.05517241379310345
20,at,45,2.9398518151595345,47,0.054022988505747126,0.008359308969847134,2,0.3098366419638169,0.05172413793103448
81,how,41,3.030823593365261,42,0.04827586206896552,0.00825642815809412,2,0.3138281682908195,0.047126436781609195
516,we,41,3.030823593365261,43,0.04942528735632184,0.008123400460673615,2,0.2868424600692529,0.047126436781609195
542,was,41,3.030823593365261,43,0.04942528735632184,0.008089587609373151,2,0.3468438833299925,0.047126436781609195
239,all,38,3.104931565518983,39,0.04482758620689655,0.008073958845687875,2,0.4148928427061556,0.04367816091954023
42,by,43,2.984303577730368,44,0.05057471264367816,0.007990552216463434,2,0.2571742605193698,0.04942528735632184
562,can,37,3.1309070519222435,39,0.04482758620689655,0.007737389925948937,2,0.45171435244303854,0.04252873563218391
1,about,37,3.1309070519222435,40,0.04597701149425287,0.007716982228022416,2,0.31966728445433196,0.04252873563218391
426,your,32,3.2719856501821494,35,0.040229885057471264,0.00720156285979393,3,0.48878583570317946,0.0367816091954023
138,its,34,3.2131451501592156,35,0.040229885057471264,0.007087745005652148,2,0.410132714026617,0.03908045977011494
68,im,33,3.242132687032468,33,0.03793103448275862,0.006900628975009396,1,0.393987182183577,0.03793103448275862
672,what,31,3.302757308848903,32,0.0367816091954023,0.006725884794948203,2,0.2919526785909493,0.035632183908045977
1020,more,29,3.367295829986474,29,0.03333333333333333,0.006706957984633051,1,0.3946252466286282,0.03333333333333333
530,people,32,3.2719856501821494,34,0.03908045977011494,0.006697134587597272,2,0.39152003889241355,0.0367816091954023
413,has,33,3.242132687032468,34,0.03908045977011494,0.006683887513793316,2,0.2899417167960005,0.03793103448275862
37,up,31,3.302757308848903,31,0.035632183908045977,0.006656756796235382,1,0.33121104207453833,0.035632183908045977
44,he,32,3.2719856501821494,34,0.03908045977011494,0.006594514208486572,2,0.34905210864231023,0.0367816091954023
668,his,26,3.4726563456443005,30,0.034482758620689655,0.006406486589211672,2,0.42444952785164913,0.029885057471264367
531,they,30,3.3345060071634833,33,0.03793103448275862,0.006330364110790612,2,0.37181392571103605,0.034482758620689655
46,like,31,3.302757308848903,31,0.035632183908045977,0.006318823383877669,1,0.2970081721855738,0.035632183908045977
48,me,27,3.4362887014734254,30,0.034482758620689655,0.006253875634003586,2,0.3652819921212303,0.03103448275862069
145,will,32,3.2719856501821494,32,0.0367816091954023,0.00621985160360935,1,0.26760343637629813,0.0367816091954023
265,get,28,3.4011973816621555,30,0.034482758620689655,0.006204080912398181,2,0.3060740703822409,0.03218390804597701
458,us,29,3.367295829986474,30,0.034482758620689655,0.006189229290537114,2,0.32560092990972095,0.03333333333333333
465,if,29,3.367295829986474,31,0.035632183908045977,0.0058676825136338715,2,0.3271470891469542,0.03333333333333333
96,one,22,3.63299899571948,24,0.027586206896551724,0.005841776389411902,2,0.42667765189968077,0.02528735632183908
245,out,28,3.4011973816621555,28,0.03218390804597701,0.005803240036071852,1,0.2691579695089975,0.03218390804597701
59,but,28,3.4011973816621555,28,0.03218390804597701,0.005701915120634777,1,0.258329935463931,0.03218390804597701
847,dont,24,3.5496173867804286,25,0.028735632183908046,0.005700863911048842,2,0.3866245132665052,0.027586206896551724
124,who,25,3.5103966736271475,27,0.03103448275862069,0.005495667651449459,2,0.35259827374945585,0.028735632183908046
171,love,20,3.7239707739252066,22,0.02528735632183908,0.00549029719715049,2,0.40767401898358935,0.022988505747126436
122,via,19,3.7727609380946383,19,0.021839080459770115,0.005313178526911367,1,0.32532789727240646,0.021839080459770115
136,go,21,3.6774507582903135,21,0.02413793103448276,0.0052969880361036295,1,0.3846808086814502,0.02413793103448276
1306,now,23,3.590439381300684,23,0.026436781609195402,0.005248082461696102,1,0.37717078577607444,0.026436781609195402
95,no,23,3.590439381300684,25,0.028735632183908046,0.005216988094431385,3,0.3841387043421142,0.026436781609195402
257,or,22,3.63299899571948,24,0.027586206896551724,0.005207418201321078,2,0.3876340842903634,0.02528735632183908
427,an,25,3.5103966736271475,26,0.029885057471264367,0.005149811882646294,2,0.28327248610863665,0.028735632183908046
251,when,22,3.63299899571948,22,0.02528735632183908,0.004986813150224851,1,0.29683739270807036,0.02528735632183908
137,good,22,3.63299899571948,23,0.026436781609195402,0.004833292559097641,2,0.3205441199265852,0.02528735632183908
512,our,19,3.7727609380946383,19,0.021839080459770115,0.0047897011232714065,1,0.3188560024468292,0.021839080459770115
464,hatchimals,12,4.203543854187092,14,0.016091954022988506,0.004662854187409714,2,0.696365099855416,0.013793103448275862
308,thanksgiving,16,3.9352798675924134,16,0.01839080459770115,0.004620468138266561,1,0.3302630617128392,0.01839080459770115
981,see,19,3.7727609380946383,20,0.022988505747126436,0.004593520335544978,2,0.3490225754392912,0.021839080459770115
316,new,19,3.7727609380946383,19,0.021839080459770115,0.004584008078582949,1,0.3412630111413858,0.021839080459770115
644,really,16,3.9352798675924134,17,0.01954022988505747,0.004451104004848561,2,0.44440112669835236,0.01839080459770115
424,thankyouobama,15,3.995904489408848,15,0.017241379310344827,0.00444393121776229,1,0.38485392437185306,0.017241379310344827
174,would,18,3.824054232482189,18,0.020689655172413793,0.004428573834571206,1,0.32052701699754665,0.020689655172413793
842,right,19,3.7727609380946383,19,0.021839080459770115,0.004402914575270114,1,0.3116823470386218,0.021839080459770115
469,some,17,3.8781214537524646,18,0.020689655172413793,0.004399305913787165,2,0.41355972774575744,0.01954022988505747
787,fantasticbeasts,14,4.060443010546419,14,0.016091954022988506,0.0042617972543628705,1,0.45925170720877817,0.016091954022988506
333,only,17,3.8781214537524646,17,0.01954022988505747,0.004184366424275464,1,0.32416974344056276,0.01954022988505747
1287,white,15,3.995904489408848,15,0.017241379310344827,0.004173745204045589,1,0.5380705065190746,0.017241379310344827
491,great,17,3.8781214537524646,17,0.01954022988505747,0.0041654817245412,1,0.3567530836488267,0.01954022988505747
35,president,15,3.995904489408848,16,0.01839080459770115,0.00412320874373312,2,0.3560514932087587,0.017241379310344827
614,bob,12,4.203543854187092,12,0.013793103448275862,0.004026032074666337,1,0.5069664780205883,0.013793103448275862
438,over,15,3.995904489408848,17,0.01954022988505747,0.004024098796140976,2,0.3663797820328467,0.017241379310344827
1989,than,16,3.9352798675924134,16,0.01839080459770115,0.00401209891904438,1,0.32601248637136565,0.01839080459770115
707,obama,17,3.8781214537524646,18,0.020689655172413793,0.0040108643529918,2,0.3450762070570444,0.01954022988505747
532,think,16,3.9352798675924134,16,0.01839080459770115,0.003931620369544326,1,0.3048727955951233,0.01839080459770115
98,5,15,3.995904489408848,15,0.017241379310344827,0.0038923753217065178,1,0.31977289874724973,0.017241379310344827
734,bannon,13,4.129435882033371,14,0.016091954022988506,0.0038883257244936302,2,0.456836757481274,0.014942528735632184
119,security,15,3.995904489408848,15,0.017241379310344827,0.003879076700162369,1,0.3331538885003877,0.017241379310344827
525,day,13,4.129435882033371,14,0.016091954022988506,0.0038747704998571535,2,0.40650380543704473,0.014942528735632184
843,their,16,3.9352798675924134,17,0.01954022988505747,0.0038668007325863294,2,0.37371347476354944,0.01839080459770115
478,time,14,4.060443010546419,14,0.016091954022988506,0.0038657413856983103,1,0.4287098835627383,0.016091954022988506
